Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTg1MDUyNDI5MzQ0MDcxOjE3MTAyNjkzMjE6c3BfYXRmX25leHQ6MjAwMjIzMDUzNDYzMDY6OjA6Og&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsr_1_33_sspa%3Fdib%3DeyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269321%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"1,971",4.3 out of 5 stars.,"1,071"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTg1MDUyNDI5MzQ0MDcxOjE3MTAyNjkzMjE6c3BfYXRmX25leHQ6MjAxMjA5MjA5MDU4OTg6OjA6Og&url=%2FNORTH-ZONE-Waterproof-Backpack-Dimensions%2Fdp%2FB0BS6QQZYN%2Fref%3Dsr_1_34_sspa%3Fdib%3DeyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269321%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,699,4.3 out of 5 stars.,"1,109"
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_35?dib=eyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI&dib_tag=se&keywords=bags&qid=1710269321&sr=8-35,Safari Flash Medium 26L Water Resistant Polyester Casual Backpack- Blue,649,4.2 out of 5 stars.,"2,290"
https://www.amazon.in/MOKOBARA-Transit-Backpack-Laptop-Crypto/dp/B0B6CM781M/ref=sr_1_36?dib=eyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI&dib_tag=se&keywords=bags&qid=1710269321&sr=8-36,"MOKOBARA The Transit Backpack - 30L Premium Nylon 15.6"" Unisex Laptop Bag With Luggage Sleeve","5,999",4.2 out of 5 stars,"1,185"
https://www.amazon.in/Hilfiger-Laptop-Backpack-TH-FERNLAYLAP07/dp/B07P3F44K6/ref=sr_1_37?dib=eyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI&dib_tag=se&keywords=bags&qid=1710269321&sr=8-37,Tommy Hilfiger Fernlay Polyester 27L Laptop Backpack For Unisex - Lt. Grey,"1,574",4.1 out of 5 stars,240
https://www.amazon.in/Backpacks-backpacks-Resistant-Lightweight-collection/dp/B07SRGQ2R4/ref=sr_1_38?dib=eyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI&dib_tag=se&keywords=bags&qid=1710269321&sr=8-38,"Genie Miami Backpacks for Women, 14 inch, Stylish and Trendy Casual College Backpacks for Girls, Water Resistant and Lightweight Bag for Office and Travelling",599,3.9 out of 5 stars,"4,648"
https://www.amazon.in/NORTH-ZONE-Restant-Office-Backpack/dp/B0CJ38KTFS/ref=sr_1_39?dib=eyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI&dib_tag=se&keywords=bags&qid=1710269321&sr=8-39,NORTH ZONE 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),599,4.5 out of 5 stars,80
https://www.amazon.in/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_40?dib=eyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI&dib_tag=se&keywords=bags&qid=1710269321&sr=8-40,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets (Sea Green),649,4.2 out of 5 stars,485
https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6/ref=sr_1_41?dib=eyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI&dib_tag=se&keywords=bags&qid=1710269321&sr=8-41,Murano Louis 10ltr Small Casual day backpack/Office Bag | Travel Bag | School Bag | College Bag | Versatile bag For Men & Women |For Girl & Boy (Dark grey),169,Previous page,415
https://www.amazon.in/uppercase-Professional-Messenger-Compartment-Organisers/dp/B0CNT88PQD/ref=sr_1_42?dib=eyJ2IjoiMSJ9.RZWD41uOjXRtCuSwrHGLE-KEzNzgb_kjaoDx-e8cI-2u_8Js0zfuO_iYWEUXqXwbh-UQJviobBBhSJEO9CRB-s9l0ilOBU0HWtVVX0jIMtIgFsIl_UQBfQGF671HMA2ZSQgqYpTPgm3kP5FJ_CqxiTqJ3oj09sLdx4HY_gNwLphdHOHjdTgEVoKNcmkLIxF1txcLlKFePb541zBdnYaR13PG91Sn91wG3PPihDfN_bc.RYd2hzPatSJCsbECMmFqTl3fRY3xTUUOE9mVCOYCbVI&dib_tag=se&keywords=bags&qid=1710269321&sr=8-42,"uppercase Omega 03 Professional Laptop (15.6') Messenger Bag with Tablet Compartment & Multiple Organisers 3x more Water resistant with Rainproof Zippers, Office Bag for Men & Women","2,399",Next page,45
