Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTE0NjgyNjM2MjY5MDcxOjE3MTAyNjk0MTY6c3BfYXRmX25leHQ6MzAwMTQ0NTAxOTA0NTMyOjowOjo&url=%2FLazaro-Storage-Unisex-Travel-Backpack%2Fdp%2FB09C67R7ZX%2Fref%3Dsr_1_113_sspa%3Fdib%3DeyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269416%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Lazaro 35 Liters High Storage Unisex Travel Laptop Backpack (Navy Blue),"5,999",4.4 out of 5 stars,4
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTE0NjgyNjM2MjY5MDcxOjE3MTAyNjk0MTY6c3BfYXRmX25leHQ6MzAwMTM3MjM5NjAyNjMyOjowOjo&url=%2FCLOWNFISH-Resistant-Polyester-Expandable-Convertible%2Fdp%2FB0BSFLQ1PB%2Fref%3Dsr_1_114_sspa%3Fdib%3DeyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269416%26sr%3D8-114-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,THE CLOWNFISH Water Resistant Unisex 28 Litres laptop backpack with USB Port,"5,999",4.2 out of 5 stars,"4,119"
https://www.amazon.in/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N53TWB/ref=sr_1_115?dib=eyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg&dib_tag=se&keywords=bags&qid=1710269416&sr=8-115,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Grey & Red),"9,499",3.6 out of 5 stars,128
https://www.amazon.in/TRUE-HUMAN-EMPEROR%C2%AEMulti-purpose-backpack-charging/dp/B0CCLKZ21R/ref=sr_1_116?dib=eyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg&dib_tag=se&keywords=bags&qid=1710269416&sr=8-116,"TRUE HUMAN EMPEROR®Multi-purpose backpack With USB charging Port Laptop,office,college,travel bag for men and women (WIZ)",999,3.4 out of 5 stars,253
https://www.amazon.in/MEDLER-Aquiver-litres-Waterproof-Strolley/dp/B09V8BDX1N/ref=sr_1_117?dib=eyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg&dib_tag=se&keywords=bags&qid=1710269416&sr=8-117,M MEDLER Aquiver Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag (Beige),"3,389",Previous page,691
https://www.amazon.in/Purple-Tree-Canvas-Tote-Women/dp/B07PDYTXD7/ref=sr_1_118?dib=eyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg&dib_tag=se&keywords=bags&qid=1710269416&sr=8-118,"The Purple Tree Canvas Tote Bag For Women - 1 Pc , women tote bag , canvas tote bag , printed tote bag , printed canvas tote bag , stylish bags for women TBAG00422","1,525",Next page,247
https://www.amazon.in/LAXIS-Non-Woven-Moisture-Organiser-Size-45x33-5x22cm/dp/B0CC34XHB4/ref=sr_1_119?dib=eyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg&dib_tag=se&keywords=bags&qid=1710269416&sr=8-119,"LAXIS Non-Woven Saree Bags, Saree Covers With Zip, Saree Covers For Storage With Moisture & Dust Proof, Wardrobe Organiser, Size-45x33.5x22cm (Pack of 3, Blue)",649,4.1 out of 5 stars,"8,170"
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_120?dib=eyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg&dib_tag=se&keywords=bags&qid=1710269416&sr=8-120,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,499,3.8 out of 5 stars,"1,848"
https://www.amazon.in/Storite-Multi-Purpose-Bag-Red-113x39-5x53/dp/B08M9GP2TX/ref=sr_1_121?dib=eyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg&dib_tag=se&keywords=bags&qid=1710269416&sr=8-121,"Storite Moisture Proof 236 L Heavy Duty 1680 Denier Nylon Multi-Purpose Extra Large Toys Storage Bag/Stationery Paper/Blankets/Clothes Storage Bag For Travel (Red Black, 113x39.5x53 cm)",345,3.7 out of 5 stars,"1,237"
https://www.amazon.in/Fast-Travel-partition-Collage-Backpack/dp/B09XLKF4W4/ref=sr_1_122?dib=eyJ2IjoiMSJ9.BoicHt3zOafYvk9HlGHabdf2qQQsj2qUuYvLyAvbORLvQzOGZ-NgFlfx5QYXC-IhCUHUygsFPj-O4u6mz8i1gI7AitgFoZP0GIAA5Owm2QskAFJjE9UP_22z8ZCOjcimuiSfyuE4SwJ0kuetQctHjq_tVpzer2Tsg1JJZ--SQAxyBI0d1ACLL2i9nONbsoE12lIxcbKZKUJnfMe6Wz3XYHhD253YfTu3zF-cTgJM7w0.YXGT3D8O1tAFUjhtTMKReSn6pcii2Xd1CnueYDZuCZg&dib_tag=se&keywords=bags&qid=1710269416&sr=8-122,Fast Travel School Bag Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Backpack Unisex,169,4.3 out of 5 stars,13
