Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTY1MzMyMTg4MzYzMDcxOjE3MTAyNjkzNzc6c3BfYXRmX25leHQ6MzAwMTQ0NTAxOTA0NzMyOjowOjo&url=%2FLazaro-Traverse-Collection-Unisex-Turquoise%2Fdp%2FB09C5WCTLZ%2Fref%3Dsr_1_81_sspa%3Fdib%3DeyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269377%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Lazaro 45 Liters Heavy Duty Traverse Collection Unisex Travel (Turquoise Green),"1,449",4.3 out of 5 stars.,3
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTY1MzMyMTg4MzYzMDcxOjE3MTAyNjkzNzc6c3BfYXRmX25leHQ6MzAwMTQ0NTAxOTA0ODMyOjowOjo&url=%2FLazaro-Traverse-Collection-Unisex-Travel%2Fdp%2FB09C62RD81%2Fref%3Dsr_1_82_sspa%3Fdib%3DeyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269377%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Large 45 L Laptop Backpack Heavy Duty Traverse Collection Unisex Travel (Black),"1,449",4.3 out of 5 stars.,84
https://www.amazon.in/Skybags-LUMOUS-LAPTOP-BACKPACK-BLACK/dp/B0CJ3TCKYD/ref=sr_1_83?dib=eyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM&dib_tag=se&keywords=bags&qid=1710269377&sr=8-83,Skybags LUMOUS LAPTOP BACKPACK (E),888,4.2 out of 5 stars.,815
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_84?dib=eyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM&dib_tag=se&keywords=bags&qid=1710269377&sr=8-84,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",689,3.8 out of 5 stars,114
https://www.amazon.in/Puma-Black-Laptop-Backpack-7573301/dp/B07JHJCZSM/ref=sr_1_85?dib=eyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM&dib_tag=se&keywords=bags&qid=1710269377&sr=8-85,PUMA 26 Ltrs Puma Black Laptop Backpack,"1,159",3.6 out of 5 stars,"1,291"
https://www.amazon.in/American-Tourister-FS0-41-002/dp/B07S13B1HR/ref=sr_1_86?dib=eyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM&dib_tag=se&keywords=bags&qid=1710269377&sr=8-86,American Tourister Spin 49 cms Navy Laptop Backpack,"1,799",3.7 out of 5 stars,"22,368"
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_87?dib=eyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM&dib_tag=se&keywords=bags&qid=1710269377&sr=8-87,Safari Small Size 15 Ltrs Unisex Standard Backpack - Sea Blue,321,3.5 out of 5 stars,294
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_88?dib=eyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM&dib_tag=se&keywords=bags&qid=1710269377&sr=8-88,Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,599,4.1 out of 5 stars,154
https://www.amazon.in/INKMILAN-Waterproof-Anti-theft-CrossBody-Password/dp/B0CKBFWMSB/ref=sr_1_89?dib=eyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM&dib_tag=se&keywords=bags&qid=1710269377&sr=8-89,INKMILAN Multifunction Password Anti-Theft Sacgear Backpack Sling Bag Shoulder Crossbody Chest Bag with USB Charging Port Lightweight - Casual Daypack,"1,059",4.0 out of 5 stars,11
https://www.amazon.in/BIGBERRY-Backpack-Multiple-Compartments-organiser/dp/B0CQRBBWP3/ref=sr_1_90?dib=eyJ2IjoiMSJ9.WqzAxchOgUJn6iAMIUpR3ZScMNFe_a0SE-rKHBnf9nGQRGCz5DM8cbxen2OuK5yfs2kJ3qvKmeo3eIySn621Hhxip6kY3T_meBg0g7J4x-EsggOk60hAYzkRrJ1Ni0PsBrspFNOP2wpiaHEQayxRFWubo9iCQNGfDx_t-TLkVbLuNeRhkxeficmRBHWz85kaIxt9cdpM7bEk97F9LqBjWnZ_kuoYNFoafcO4Ra-cUZQ.6p9JlMvqAJcKsVbGPpqF_rh04eo_nXW14bwJ6PEuuJM&dib_tag=se&keywords=bags&qid=1710269377&sr=8-90,BIGBERRY NEWAGE 28 Ltrs leatherite/faux leather Backpack with Multiple Compartments & organiser,849,4.0 out of 5 stars,"1,921"
