Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODM1MTI5NzAxNTA3MDcxOjE3MTAyNjk0MzQ6c3BfYXRmX25leHQ6MzAwMTMwNzAyMjk5MjMyOjowOjo&url=%2FHUPAG-Backpack-Water-resistant-Computer-Notebook%2Fdp%2FB0CTCWF1QC%2Fref%3Dsr_1_129_sspa%3Fdib%3DeyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269434%26sr%3D8-129-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"HUPAG Travel Laptop Backpack, Durable, Compact, Water-resistant, College School Computer Bag Fits 15.6 Inch Notebook.","1,299",4.3 out of 5 stars.,143
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODM1MTI5NzAxNTA3MDcxOjE3MTAyNjk0MzQ6c3BfYXRmX25leHQ6MzAwMTE4NjE2Nzg3NDMyOjowOjo&url=%2FLaptop-Backpack-compartments-Office-Business%2Fdp%2FB09MVSH32R%2Fref%3Dsr_1_130_sspa%3Fdib%3DeyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269434%26sr%3D8-130-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Urban Tribe Atlas 24L Laptop Backpack for men and women | Fits upto 15.6 inch Laptop | 3 compartments | Office, Business, Casual Use","1,699",4.3 out of 5 stars.,272
https://www.amazon.in/TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/ref=sr_1_131?dib=eyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM&dib_tag=se&keywords=bags&qid=1710269434&sr=8-131,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",689,4.2 out of 5 stars.,385
https://www.amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6/ref=sr_1_132?dib=eyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM&dib_tag=se&keywords=bags&qid=1710269434&sr=8-132,"Safari Seek 32 Ltrs Large Overnighter Travel Laptop Backpack, Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure- Black",899,4.1 out of 5 stars,26
https://www.amazon.in/Impulse-Imptag-Backpack-Business-Resistant/dp/B0C1CRFTFP/ref=sr_1_133?dib=eyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM&dib_tag=se&keywords=bags&qid=1710269434&sr=8-133,Impulse Imptag 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with Rain Cover & 1 Year Warranty,749,3.7 out of 5 stars,39
https://www.amazon.in/WHITECRAFT-Waterproof-Backpack-Compartment-Business/dp/B0CNPBQ1W5/ref=sr_1_134?dib=eyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM&dib_tag=se&keywords=bags&qid=1710269434&sr=8-134,WHITECRAFT 48 Liter Waterproof Pro Unisex Backpack with Three Compartment | Fits upto 16 Inch Laptop Bag | Travel/Business/College/Casual Daypacks,"1,399",4.5 out of 5 stars,"4,318"
https://www.amazon.in/Police-Polyester-Black-Laptop-Backpack/dp/B078S7GB96/ref=sr_1_135?dib=eyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM&dib_tag=se&keywords=bags&qid=1710269434&sr=8-135,"POLICE Backpack Laptop Bag For Men's Casual Laptop Backpack Office/Travel/College 30 Ltr Hedge Polyester - Black, Large",949,3.2 out of 5 stars,"10,289"
https://www.amazon.in/Skybags-Cardiff-Polyester-Travel-DFCAR55BLU/dp/B073JYDK7P/ref=sr_1_136?dib=eyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM&dib_tag=se&keywords=bags&qid=1710269434&sr=8-136,Skybags Cardiff Polyester 55 Cms Travel Duffle Bag (Blue),"1,979",Previous page,117
https://www.amazon.in/ComfyBean-Beans-Filled-Cushion-Footrest/dp/B0CMDH5CGH/ref=sr_1_137?dib=eyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM&dib_tag=se&keywords=bags&qid=1710269434&sr=8-137,"ComfyBean Bag with Beans Filled 4XL Bean Bag with Free Cushion and Footrest - Official : BeanChic Combo (Matching Color : Printed, Yah I am Listening - Black Grey), Faux Leather","2,024",Next page,6
https://www.amazon.in/Tommy-Hilfiger-Unisex-Polyester-Backpack/dp/B0BLNK8QT4/ref=sr_1_138?dib=eyJ2IjoiMSJ9.EB17T_bJ6guKriqyrXAz9VPN9MlyZHHtZnf3iUewEb4KaFJYwwThpb-nGdL8HpShgc-p-3Bc0642mEKOW4_MwzW3wmJDw-9t8DSX7130XA6n7vtiRFmNNf-KyS09PEgU6ptTDdEr1JMQwVpiPD96OXcQMQ4WfGSrUowzCqIw7XLr6M9bEIBLYjhdvqiYK9KN07DHXT6HH9Cvh5shqQY1rnWc8F_trGnlqG6wOb2AuKU.eJ2CHWpo4ODyoHi7widObZZJEPqDZ5E9qi2ge3HKitM&dib_tag=se&keywords=bags&qid=1710269434&sr=8-138,Tommy Hilfiger Unisex Laptop Backpack - 14 Inch Laptop,"5,499",2.4 out of 5 stars,66
